"date","n","cases","deaths"
2020-04-06,4724,369057,12382
2020-04-07,3665,399394,14616
2020-04-08,2928,431214,16701
2020-04-09,4093,465913,18821
2020-04-10,3666,499386,21084
2020-04-11,1438,531106,23168
2020-04-12,1541,558249,24849
2020-04-13,3800,584018,26613
2020-04-14,3002,610709,29318
2020-04-15,3456,640742,32070
2020-04-16,3276,672355,34418
2020-04-17,3236,703864,36707
2020-04-18,1579,732262,38659
2020-04-19,1265,757596,40179
2020-04-20,3293,784991,42016
2020-04-21,3112,810505,44688
2020-04-22,3483,839336,47059
2020-04-23,3359,873112,49228
2020-04-24,4066,909853,51360
2020-04-25,1532,944261,53326
2020-04-26,1341,970996,54580
2020-04-27,3391,994193,56022
2020-04-28,3217,1018846,58416
2020-04-29,3446,1045401,60930
2020-04-30,4059,1075758,63140
2020-05-01,4039,1109728,64902
2020-05-02,1691,1139202,66485
2020-05-03,1228,1165342,67816
2020-05-04,4,1187304,68905
2020-05-05,2282,1211011,71139
2020-05-06,2445,1235519,73847
